Complex_ID,Latitude,Longitude,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
247,40.620769,-73.975264,74402.57143,15003,8024,6979,10826,136,13694,1309
248,40.61514,-73.974197,74554,27153,13667,13486,16554,423,23357,3796
249,40.608944,-73.973022,76941.16667,37998,18684,19314,19679,464,32205,5793
250,40.603217,-73.972361,70718.625,18791,8989,9802,10341,476,16654,2137
251,40.596063,-73.973357,75512.57143,17967,8406,9561,10409,525,15865,2102
252,40.58962,-73.97425,68547.14286,27990,12817,15173,14183,3393,24096,3894
253,40.581011,-73.974574,55492.57143,27788,13132,14656,20879,632,25216,2572
254,40.712646,-73.783817,86058.42857,26392,13170,13222,2758,5159,22255,4137
255,40.71047,-73.793604,67515.54545,41085,20411,20674,3141,8245,32370,8715
256,40.707564,-73.803326,72094.9,44494,22446,22048,4095,6938,29916,14578
257,40.70546,-73.810708,74132.66667,28948,15043,13905,2581,4884,17602,11346
258,40.709179,-73.820574,73327,23876,11804,12072,7051,4484,17974,5902
259,40.714441,-73.831008,92909.45455,30992,14581,16411,14035,2216,24406,6586
260,40.718331,-73.837324,116844.75,25761,11720,14041,13566,684,22185,3576
261,40.721691,-73.844521,123024.8889,41711,19475,22236,22810,1189,34752,6959
262,40.726523,-73.852719,92356.36364,56455,26747,29708,29066,2278,46744,9711
263,40.729846,-73.861604,83890.33333,40374,18967,21407,17695,1952,32469,7905
264,40.733106,-73.869229,73062.11111,45644,22254,23390,10952,5449,32106,13538
265,40.737015,-73.877223,75087.3,42931,20976,21955,3614,891,29222,13709
266,40.742454,-73.882017,64747.72727,52102,26442,25660,4128,695,28550,23552
268,40.749669,-73.898453,77027,36290,17941,18349,9785,416,24632,11658
269,40.752885,-73.906006,65213.63636,27220,12912,14308,8256,1160,16596,10624
270,40.756312,-73.913333,73132.18182,25823,12478,13345,12714,1497,18095,7728
1,40.775036,-73.912034,107187.3,30146,15089,15057,19659,930,23703,6443
2,40.770258,-73.917843,110305.75,42232,21192,21040,25598,1186,32559,9673
3,40.766779,-73.921479,103852,35655,18186,17469,20188,1057,27254,8401
4,40.76182,-73.925508,98119.44444,40164,19976,20188,21380,2128,31107,9057
5,40.756804,-73.929575,90276,24181,12643,11538,10605,1820,17729,6452
6,40.752882,-73.932755,74981.14286,9565,5120,4445,3423,461,7420,2145
8,40.764811,-73.973347,147591.3,16508,8893,7615,12555,526,15673,835
9,40.764664,-73.980658,141110.5556,36815,19896,16919,23412,1929,32012,4803
10,40.759901,-73.984139,116506,31358,18250,13108,18894,2116,27098,4260
13,40.745494,-73.988691,176999.5,42613,20909,21704,26361,3379,38359,4254
14,40.741303,-73.989344,187240.9091,51828,25597,26231,34195,3509,46778,5050
