ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,station_complex_id
11/16/2023,B,42,45-64,M,BLACK,40.83013694129822,-73.89187665421248,429.0
11/16/2023,B,43,25-44,M,WHITE HISPANIC,40.82950189782912,-73.87460889175321,368.0
11/15/2023,K,75,25-44,M,BLACK,40.659112692479056,-73.89921817587808,136.0
11/15/2023,B,40,45-64,M,BLACK HISPANIC,40.81606683945181,-73.91764392674679,434.0
11/15/2023,B,42,18-24,M,BLACK,40.83013694129822,-73.89187665421248,429.0
11/15/2023,M,18,25-44,M,WHITE,40.768407909886974,-73.9820430818357,614.0
11/15/2023,B,42,18-24,M,WHITE HISPANIC,40.83013694129822,-73.89187665421248,429.0
11/15/2023,B,46,25-44,M,BLACK HISPANIC,40.848639432663525,-73.91167941229558,385.0
11/15/2023,B,40,25-44,M,WHITE,40.81606683945181,-73.91764392674679,434.0
11/15/2023,K,75,25-44,M,BLACK,40.663807310453066,-73.90041498507392,135.0
11/15/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/15/2023,K,79,25-44,M,BLACK,40.67993899535381,-73.94120727391481,180.0
11/14/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
11/14/2023,S,120,45-64,M,BLACK,40.643566,-74.074001,501.0
11/14/2023,M,14,18-24,M,BLACK,40.752001,-73.977392,610.0
11/14/2023,B,40,45-64,M,BLACK,40.81606683945181,-73.91764392674679,434.0
11/14/2023,K,75,45-64,M,WHITE HISPANIC,40.663807310453066,-73.90041498507392,135.0
11/14/2023,B,42,45-64,M,BLACK,40.83737082564831,-73.8877667333652,428.0
11/14/2023,K,75,25-44,M,BLACK,40.659112692479056,-73.89921817587808,136.0
11/13/2023,Q,101,18-24,M,WHITE HISPANIC,40.59987182441369,-73.76156020184627,208.0
11/13/2023,B,40,25-44,M,WHITE HISPANIC,40.81856005891384,-73.92731612997096,603.0
11/13/2023,B,40,25-44,M,BLACK,40.819693764479865,-73.90160159492376,432.0
11/13/2023,B,40,25-44,F,WHITE HISPANIC,40.819693764479865,-73.90160159492376,432.0
11/12/2023,M,25,18-24,F,BLACK,40.804375769710255,-73.93742023722204,392.0
11/12/2023,M,25,25-44,M,BLACK,40.804375769710255,-73.93742023722204,392.0
11/11/2023,M,28,45-64,M,BLACK,40.79883293224151,-73.95201714895177,441.0
11/11/2023,M,25,25-44,M,WHITE HISPANIC,40.804375769710255,-73.93742023722204,392.0
11/11/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/11/2023,M,33,25-44,M,ASIAN / PACIFIC ISLANDER,40.8410766367656,-73.93976740555671,605.0
11/11/2023,K,78,25-44,M,BLACK,40.684454,-73.97775,617.0
11/10/2023,B,40,25-44,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0
11/10/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0
11/10/2023,K,72,25-44,M,ASIAN / PACIFIC ISLANDER,40.66047157556889,-73.99801402245733,31.0
11/10/2023,K,72,25-44,M,WHITE,40.66047157556889,-73.99801402245733,31.0
11/10/2023,B,44,45-64,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
11/10/2023,B,43,25-44,M,WHITE HISPANIC,40.83420109672967,-73.85168536781177,365.0
11/10/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
11/10/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
